matricula,mediaNotas,menorNota,maiorNota,quantidadeDisciplinasCursadas,quantidadeAprovacoes,quantidadeReprovacoes,mediaAprovadas,mediaReprovadas,cargaHorariaPassada,taxaDeSucesso,semestrePassado,anosMatriculado,menorNota_cat,maiorNota_cat,mediaNotas_cat,mediaAprovadas_cat,mediaReprovadas_cat,cargaHorariaPassada_cat
2010039300,3.4,0.0,6.8,2,1,1,6.8,0.0,120.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010039319,6.8999999999999995,5.8,8.6,3,3,0,6.8999999999999995,0.0,180.0,1.0,2015.1,5,media,alta,media,media,baixa,baixa
2010039386,1.2200000000000002,0.0,5.9,5,1,4,5.9,0.05,260.0,0.2,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010039432,4.92,1.2,6.9,5,4,1,5.8500000000000005,1.2,300.0,0.8,2015.1,5,baixa,media,baixa,media,baixa,media
2010039491,4.3,0.9,6.7,6,3,3,6.266666666666667,2.3333333333333335,390.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,media
2010039564,8.2,8.2,8.2,2,2,0,8.2,0.0,105.0,1.0,2015.1,5,alta,alta,alta,alta,baixa,muito_baixa
2010039637,4.3999999999999995,2.5,5.5,3,2,1,5.35,2.5,180.0,0.6666666666666666,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010039653,0.0,0.0,0.0,2,0,2,0.0,0.0,90.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,muito_baixa
2010039734,3.65,0.0,9.0,4,2,2,7.15,0.15,270.0,0.5,2015.1,5,baixa,alta,baixa,alta,baixa,baixa
2010039742,5.928571428571429,5.0,7.0,7,7,0,5.928571428571429,0.0,420.0,1.0,2015.1,5,media,alta,media,media,baixa,alta
2010039777,0.0,0.0,0.0,1,0,1,0.0,0.0,90.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,muito_baixa
2010039882,4.486666666666666,0.0,9.7,15,7,8,6.514285714285714,2.7125,870.0,0.4666666666666667,2015.1,5,baixa,alta,baixa,media,baixa,alta
2010039939,6.171428571428571,4.6,8.3,7,6,1,6.433333333333334,4.6,395.0,0.8571428571428571,2015.1,5,baixa,alta,media,media,baixa,media
2010040007,3.0699999999999994,0.0,8.5,10,3,7,8.033333333333333,0.9428571428571428,545.0,0.3,2015.1,5,baixa,alta,baixa,alta,baixa,alta
2010040147,7.6000000000000005,7.2,7.9,3,3,0,7.6000000000000005,0.0,180.0,1.0,2015.1,5,alta,alta,alta,alta,baixa,baixa
2010040163,0.03333333333333333,0.0,0.2,6,0,6,0.0,0.03333333333333333,420.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,alta
2010040252,4.500000000000001,0.8,9.3,6,3,3,6.966666666666668,2.033333333333333,350.0,0.5,2015.1,5,baixa,alta,baixa,media,baixa,media
2010040392,5.1,3.8,6.4,5,4,1,5.425000000000001,3.8,300.0,0.8,2015.1,5,baixa,media,media,media,baixa,media
2010040422,0.4,0.0,0.8,2,0,2,0.0,0.4,90.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,muito_baixa
2010040430,6.7,6.3,7.0,3,3,0,6.7,0.0,180.0,1.0,2015.1,5,media,alta,media,media,baixa,baixa
2010040473,6.720000000000001,5.4,8.6,5,5,0,6.720000000000001,0.0,300.0,1.0,2015.1,5,media,alta,media,media,baixa,media
2010040481,6.1,5.2,7.0,4,4,0,6.1,0.0,240.0,1.0,2015.1,5,media,alta,media,media,baixa,baixa
2010040490,7.466666666666668,5.3,9.2,3,3,0,7.466666666666668,0.0,180.0,1.0,2015.1,5,media,alta,alta,alta,baixa,baixa
2010040538,2.8000000000000003,0.9,5.0,3,1,2,5.0,1.7,180.0,0.3333333333333333,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010040732,0.4,0.0,0.8,2,0,2,0.0,0.4,140.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,baixa
2010040783,4.0,0.0,8.0,2,1,1,8.0,0.0,150.0,0.5,2015.1,5,baixa,alta,baixa,alta,baixa,baixa
2010040848,6.04,4.8,7.5,5,4,1,6.35,4.8,300.0,0.8,2015.1,5,baixa,alta,media,media,baixa,media
2010040856,5.133333333333333,4.1,7.2,3,1,2,7.2,4.1,150.0,0.3333333333333333,2015.1,5,baixa,alta,media,alta,baixa,baixa
2010041151,5.1000000000000005,1.2,7.8,3,2,1,7.05,1.2,150.0,0.6666666666666666,2015.1,5,baixa,alta,media,alta,baixa,baixa
2010041194,6.75,5.3,10.0,6,6,0,6.75,0.0,360.0,1.0,2015.1,5,media,,media,media,baixa,media
2010041232,6.7,6.7,6.7,1,1,0,6.7,0.0,60.0,1.0,2015.1,5,media,media,media,media,baixa,muito_baixa
2010041429,4.1,0.4,5.6,8,5,3,5.14,2.3666666666666667,540.0,0.625,2015.1,5,baixa,media,baixa,media,baixa,alta
2010041526,3.675,0.0,7.9,4,2,2,7.35,0.0,210.0,0.5,2015.1,5,baixa,alta,baixa,alta,baixa,baixa
2010041631,5.875,2.4,9.0,8,6,2,6.733333333333334,3.3,510.0,0.75,2015.1,5,baixa,alta,media,media,baixa,alta
